"EDS CHARGERS — роздрібні ціни № 1. Односторонні станції (S та QS)","Модель (SKU) ","Серія ","кВт ","Конфігурація ","Артикул для завантаження в CRM ","Ціна з ПДВ, € ","","","","","","","","","","","","","","","","","","",""
"1","EDS CHARGERS S80 UA (CCS+GBT)","S","80","2DC","EDS-S80-2DC","24 700","","","","","","","","","","","","","","","","","","",""
"2","EDS CHARGERS S80 UA (CCS+GBT+AC+AC)","S","80","2DC+2AC","EDS-S80-2DC+2AC","27 800","","","","","","","","","","","","","","","","","","",""
"3","EDS CHARGERS S80 UA (CCS+GBT+AC)","S","80","2DC+AC","EDS-S80-2DC+AC","26 100","","","","","","","","","","","","","","","","","","",""
"4","EDS CHARGERS S120 UA (CCS+GBT)","S","120","2DC","EDS-S120-2DC","29 600","","","","","","","","","","","","","","","","","","",""
"5","EDS CHARGERS S120 UA (CCS+GBT+AC+AC)","S","120","2DC+2AC","EDS-S120-2DC+2AC","30 400","","","","","","","","","","","","","","","","","","",""
"6","EDS CHARGERS S120 UA (CCS+GBT+AC)","S","120","2DC+AC","EDS-S120-2DC+AC","30 000","","","","","","","","","","","","","","","","","","",""
"7","EDS CHARGERS S120 UA (CCS+CCS+GBT)","S","120","3DC","EDS-S120-3DC","36 500","","","","","","","","","","","","","","","","","","",""
"8","EDS CHARGERS S120 UA (CCS+CCS+GBT+TYPE2)","S","120","3DC+TYPE2","EDS-S120-3DC+TYPE2","36 900","","","","","","","","","","","","","","","","","","",""
"9","EDS CHARGERS S160 UA (CCS+GBT)","S","160","2DC","EDS-S160-2DC","32 500","","","","","","","","","","","","","","","","","","",""
"10","EDS CHARGERS S160 UA (CCS+GBT+AC+AC)","S","160","2DC+2AC","EDS-S160-2DC+2AC","33 300","","","","","","","","","","","","","","","","","","",""
"11","EDS CHARGERS S160 UA (CCS+GBT+AC)","S","160","2DC+AC","EDS-S160-2DC+AC","32 900","","","","","","","","","","","","","","","","","","",""
"12","EDS CHARGERS S160 UA (CCS+CCS+GBT)","S","160","3DC","EDS-S160-3DC","37 500","","","","","","","","","","","","","","","","","","",""
